step,date,type,price,traded_value,allocation
10,2010-07-14,buy,107.08282470703124,9999.999999994507,"[0.7982115745544434, 0.7273257970809937, 0.14918598532676697, 0.24042090773582458, 0.19460076093673706]"
11,2010-07-15,sell,111.82635498046876,3012.652351533007,"[0.6562798023223877, 0.3543797731399536, 0.1920698881149292, 0.25342226028442383, 0.1614861786365509]"
12,2010-07-16,sell,112.5578155517578,5472.527366924701,"[0.8002150058746338, 0.11046570539474487, 0.0865529477596283, 0.12508711218833923, 0.24534255266189575]"
13,2010-07-19,buy,112.18055725097656,4960.806350119056,"[0.5933962464332581, 0.08311653137207031, 0.42552223801612854, 0.14383748173713684, 0.3274727165699005]"
14,2010-07-20,buy,114.66780090332033,4302.856547318973,"[0.4273380637168884, 0.043666064739227295, 0.8126550316810608, 0.3581634759902954, 0.4061548709869385]"
15,2010-07-21,sell,113.18928527832033,8462.543902368809,"[0.7506969571113586, 0.19903481006622314, 0.17569217085838318, 0.11746552586555481, 0.510879635810852]"
16,2010-07-22,buy,112.85047912597656,3687.88612296766,"[0.6501545906066895, 0.5613137483596802, 0.25261175632476807, 0.1278906762599945, 0.5032198429107666]"
17,2010-07-23,sell,113.48963928222656,5363.27619098973,"[0.2876952290534973, 0.8776223063468933, 0.1046607494354248, 0.06693068146705627, 0.6060650944709778]"
18,2010-07-26,sell,114.12105560302734,346.4253686159269,"[0.26851776242256165, 0.8490623831748962, 0.10577002167701721, 0.044367969036102295, 0.6091122627258301]"
19,2010-07-27,sell,113.37411499023438,1226.5581660348744,"[0.33036303520202637, 0.8131817579269409, 0.1103665828704834, 0.051037728786468506, 0.4870811402797699]"
20,2010-07-28,sell,113.3509521484375,2008.5355395807355,"[0.3329298496246338, 0.9054430723190308, 0.11205253005027771, 0.07922786474227905, 0.31426697969436646]"
21,2010-07-29,buy,117.49388885498048,732.009379951421,"[0.3829684853553772, 0.8837138414382935, 0.1271735429763794, 0.07117411494255066, 0.31777840852737427]"
22,2010-07-30,buy,116.13858795166016,3392.004529635227,"[0.6586881279945374, 0.7753452062606812, 0.05184713006019592, 0.11171633005142212, 0.24694585800170898]"
23,2010-08-02,buy,117.6170654296875,2027.6590641737532,"[0.792596697807312, 0.7207604646682739, 0.05961489677429199, 0.18652623891830444, 0.14106762409210205]"
24,2010-08-03,sell,117.963623,5094.409814508905,"[0.41914939880371094, 0.8009670972824097, 0.07459303736686707, 0.03921213746070862, 0.3584747016429901]"
25,2010-08-04,sell,120.4431610107422,5067.92492049025,"[0.4899148643016815, 0.3662484288215637, 0.1464422643184662, 0.12973621487617493, 0.2949720621109009]"
26,2010-08-05,buy,120.06584930419922,4243.876475875937,"[0.7240599393844604, 0.3049372434616089, 0.11341717839241028, 0.32149428129196167, 0.1879919469356537]"
27,2010-08-06,buy,119.49598693847656,1948.2691063300335,"[0.755773663520813, 0.48662954568862915, 0.08215212821960449, 0.3361932635307312, 0.14807575941085815]"
28,2010-08-09,buy,119.66535186767578,1516.0396212832568,"[0.7995061874389648, 0.6377291679382324, 0.0974615216255188, 0.26573291420936584, 0.1424715518951416]"
29,2010-08-10,buy,118.5103530883789,1939.7899424690117,"[0.7039485573768616, 0.7230256795883179, 0.14790114760398865, 0.19718948006629944, 0.19188696146011353]"
30,2010-08-11,buy,114.92959594726562,5755.980129265842,"[0.8796243667602539, 0.3381260931491852, 0.3596192002296448, 0.5085511207580566, 0.06717169284820557]"
31,2010-08-12,sell,115.06053161621094,5606.360677453791,"[0.945554256439209, 0.005691558122634888, 0.13365057110786438, 0.8172111511230469, 0.004023104906082153]"
32,2010-08-13,sell,114.02864837646484,4709.990624347429,"[0.9214813113212585, 0.17435801029205322, 0.17620182037353516, 0.3453505039215088, 0.15065321326255798]"
33,2010-08-16,sell,113.7822266,2965.4876992003396,"[0.6151832342147827, 0.19918084144592285, 0.19614291191101074, 0.4699731767177582, 0.1776713728904724]"
34,2010-08-17,sell,114.42134857177734,3186.0671531291828,"[0.3471907377243042, 0.2347000241279602, 0.275168240070343, 0.5661118030548096, 0.22487056255340576]"
35,2010-08-18,buy,114.89112091064452,270.38543165416263,"[0.4085187315940857, 0.27060312032699585, 0.3094709515571594, 0.6505609750747681, 0.29022714495658875]"
36,2010-08-19,buy,113.23551940917967,4119.467748651414,"[0.6696161031723022, 0.4309333562850952, 0.34436124563217163, 0.37172043323516846, 0.5812075138092041]"
37,2010-08-20,sell,114.15188598632812,710.809499400402,"[0.6347034573554993, 0.4292047619819641, 0.38261115550994873, 0.36062926054000854, 0.4723036289215088]"
38,2010-08-23,buy,112.99678802490234,1725.469643055235,"[0.6041232943534851, 0.5455770492553711, 0.6317120790481567, 0.3458046317100525, 0.5242346525192261]"
39,2010-08-24,sell,110.84835052490234,1586.6261929351272,"[0.54866623878479, 0.3309714198112488, 0.6597325801849365, 0.33156633377075195, 0.5409836769104004]"
40,2010-08-25,sell,111.41046905517578,5687.965662263973,"[0.8261377811431885, 0.02757933735847473, 0.35150742530822754, 0.2693561315536499, 0.2079642415046692]"
41,2010-08-26,buy,109.2004395,5618.922768788161,"[0.7400346994400024, 0.37827950716018677, 0.6052031517028809, 0.24435284733772278, 0.677008867263794]"
42,2010-08-27,sell,107.61416625976562,2857.0321634007487,"[0.8569431900978088, 0.1692447066307068, 0.4263654053211212, 0.13608965277671814, 0.7104359865188599]"
43,2010-08-30,buy,105.49894714355467,1611.6977527416186,"[0.8690216541290283, 0.2713901400566101, 0.4733147919178009, 0.23089799284934998, 0.6029261946678162]"
44,2010-08-31,buy,105.70735168457033,765.4238504233816,"[0.8682876825332642, 0.3023051619529724, 0.5669011473655701, 0.2127472460269928, 0.6647183895111084]"
45,2010-09-01,buy,107.87662506103516,2107.7376206936324,"[0.808307945728302, 0.6492478847503662, 0.6490503549575806, 0.23747092485427856, 0.6218425035476685]"
46,2010-09-02,sell,107.90750885009766,5006.046976760752,"[0.30126234889030457, 0.8401802778244019, 0.29786965250968933, 0.08930373191833496, 0.5798782110214233]"
47,2010-09-03,sell,113.70507049560548,1034.9556813328281,"[0.3627550005912781, 0.7640044689178467, 0.19568055868148804, 0.07895740866661072, 0.49696028232574463]"
48,2010-09-07,buy,112.09935760498048,4964.558216037916,"[0.5672190189361572, 0.8169549107551575, 0.04608809947967529, 0.2721123695373535, 0.20114988088607788]"
49,2010-09-08,sell,113.89810180664062,2087.3976663047974,"[0.5076799392700195, 0.861314594745636, 0.03558948636054993, 0.09704911708831787, 0.23673871159553528]"
50,2010-09-09,sell,115.13324737548828,1451.8259407149196,"[0.5147690773010254, 0.9362258911132812, 0.01707020401954651, 0.10476899147033691, 0.12984859943389893]"
51,2010-09-10,sell,116.09819793701172,776.6035841844987,"[0.4860416650772095, 0.9154443740844727, 0.015776365995407104, 0.06261539459228516, 0.09965401887893677]"
52,2010-09-13,buy,119.17069244384766,396.67545497203446,"[0.5123602151870728, 0.8913532495498657, 0.0237615704536438, 0.07677564024925232, 0.09900134801864624]"
53,2010-09-14,buy,117.75025939941406,427.20654018911245,"[0.5391843914985657, 0.9214425683021545, 0.01228991150856018, 0.057815492153167725, 0.10049647092819214]"
54,2010-09-15,buy,117.77345275878906,1597.6541096772835,"[0.4848300516605377, 0.8934798240661621, 0.02238735556602478, 0.03339153528213501, 0.21272790431976318]"
55,2010-09-16,buy,117.51869201660156,743.1080962661636,"[0.48888540267944336, 0.8791322708129883, 0.027349889278411865, 0.047221094369888306, 0.2525782287120819]"
56,2010-09-17,buy,116.55369567871094,1796.5231838374252,"[0.46397560834884644, 0.9259968996047974, 0.051105499267578125, 0.10040280222892761, 0.16588619351387024]"
57,2010-09-20,buy,117.2639617919922,886.3340639243512,"[0.4776378870010376, 0.924247145652771, 0.09262412786483765, 0.13146141171455383, 0.19541460275650024]"
58,2010-09-21,sell,116.87789154052734,3632.947434760489,"[0.2682514190673828, 0.963612973690033, 0.05933520197868347, 0.03011646866798401, 0.336702823638916]"
59,2010-09-22,buy,114.30723571777344,990.1506303487208,"[0.287216454744339, 0.9366285800933838, 0.11624819040298462, 0.05205756425857544, 0.36710643768310547]"
60,2010-09-23,buy,111.86776733398438,3257.6387851079444,"[0.4609033167362213, 0.9550895690917969, 0.1823256015777588, 0.18864649534225464, 0.19388732314109802]"
61,2010-09-24,buy,113.69733428955078,1627.1768592492228,"[0.4994480311870575, 0.9624966382980347, 0.27346181869506836, 0.1276547610759735, 0.3070962429046631]"
62,2010-09-27,buy,112.70922088623048,1658.2845121457674,"[0.3486878275871277, 0.9714017510414124, 0.2910536527633667, 0.11325260996818542, 0.4599605202674866]"
63,2010-09-28,buy,111.94495391845705,2315.6455109195313,"[0.418059766292572, 0.8448141813278198, 0.48596248030662537, 0.114050954580307, 0.5689885020256042]"
64,2010-09-29,buy,111.48953247070312,8299.242548789218,"[0.7906218767166138, 0.2992441654205322, 0.5127503871917725, 0.7594332695007324, 0.23807412385940552]"
65,2010-09-30,buy,111.61299896240234,2673.4178155124464,"[0.7873152494430542, 0.280454158782959, 0.5689860582351685, 0.5737023949623108, 0.5677377581596375]"
66,2010-10-01,sell,114.02157592773438,4810.643626152446,"[0.9045852422714233, 0.08657693862915039, 0.21601110696792603, 0.5975806713104248, 0.2884047031402588]"
67,2010-10-04,buy,113.1492691040039,3889.875210041021,"[0.750612735748291, 0.3565259575843811, 0.2840660810470581, 0.45560628175735474, 0.40661799907684326]"
68,2010-10-05,sell,115.46521759033205,3569.7871350103524,"[0.8174053430557251, 0.13952326774597168, 0.2785685360431671, 0.22193747758865356, 0.38164833188056946]"
69,2010-10-06,buy,116.44562530517578,5663.560161521966,"[0.5300987362861633, 0.6228533983230591, 0.2070290744304657, 0.16566014289855957, 0.42786580324172974]"
70,2010-10-07,sell,116.65404510498048,1829.2699191475756,"[0.5447980165481567, 0.6926918029785156, 0.12232571840286255, 0.11368903517723083, 0.3796810507774353]"
71,2010-10-08,buy,117.85064697265624,1237.7381204446656,"[0.5758712291717529, 0.7790210843086243, 0.14793044328689575, 0.19043639302253723, 0.3110051155090332]"
72,2010-10-11,sell,117.49552917480467,2703.280871237377,"[0.3989379405975342, 0.880017876625061, 0.12593179941177368, 0.10771444439888, 0.3740106225013733]"
73,2010-10-12,sell,119.81916809082033,1300.5089938916772,"[0.43125876784324646, 0.8930361270904541, 0.12729069590568542, 0.11370620131492615, 0.2542853355407715]"
74,2010-10-13,sell,119.44860076904295,1184.9276880946654,"[0.3884519338607788, 0.9124102592468262, 0.0717603862285614, 0.08397805690765381, 0.2515438199043274]"
75,2010-10-14,buy,117.0246124267578,756.0477303287211,"[0.3841528296470642, 0.8822376728057861, 0.09638872742652893, 0.07759964466094971, 0.2865816652774811]"
76,2010-10-15,buy,116.32978057861328,1298.162276466035,"[0.3998459279537201, 0.8887358903884888, 0.1598532795906067, 0.12070319056510925, 0.33064037561416626]"
77,2010-10-18,buy,118.6535186767578,2307.493329939165,"[0.305277943611145, 0.9526735544204712, 0.2607506513595581, 0.12471935153007507, 0.5100653171539307]"
78,2010-10-19,sell,120.98480224609376,1290.8453403854476,"[0.22118303179740906, 0.9586553573608398, 0.21547982096672058, 0.11402368545532227, 0.5454933047294617]"
79,2010-10-20,buy,123.20817565917967,6409.668477073342,"[0.5917130708694458, 0.7655837535858154, 0.3725694417953491, 0.4222869277000427, 0.3329436779022217]"
80,2010-10-21,sell,122.97659301757812,723.2914283147999,"[0.5326805710792542, 0.6916395425796509, 0.3654493987560272, 0.3903554379940033, 0.3761940002441406]"
81,2010-10-22,sell,121.78778076171876,4379.8181520308735,"[0.5642725229263306, 0.41022148728370667, 0.29338759183883667, 0.6683600544929504, 0.16725242137908936]"
82,2010-10-25,sell,121.5020980834961,1689.9608190714187,"[0.7012972831726074, 0.3844396471977234, 0.2526535391807556, 0.566576361656189, 0.18268707394599915]"
83,2010-10-26,buy,122.19686889648438,745.218560993055,"[0.7826586365699768, 0.33756911754608154, 0.28790372610092163, 0.6071879863739014, 0.20702433586120605]"
84,2010-10-27,buy,123.63272857666016,1742.6452873715045,"[0.8105967044830322, 0.28038668632507324, 0.35180360078811646, 0.5029623508453369, 0.2895912528038025]"
85,2010-10-28,sell,126.01812744140624,3146.801750156494,"[0.7578892707824707, 0.4094569683074951, 0.3212738633155823, 0.19193699955940247, 0.40446722507476807]"
86,2010-10-29,sell,124.38928985595705,1794.8776447875905,"[0.7396472096443176, 0.21454060077667236, 0.29403847455978394, 0.20237863063812256, 0.3707558512687683]"
87,2010-11-01,sell,124.72895050048828,2458.1284216511526,"[0.7379149198532104, 0.07221239805221558, 0.35705557465553284, 0.270871102809906, 0.3058888912200928]"
88,2010-11-02,buy,125.6939468383789,2233.7819751293932,"[0.8152278661727905, 0.24078235030174255, 0.25783467292785645, 0.24804437160491943, 0.3054278492927551]"
89,2010-11-03,buy,125.5473175048828,2992.1638800748283,"[0.7136313915252686, 0.427087664604187, 0.36833611130714417, 0.3707622289657593, 0.33313310146331787]"
90,2010-11-04,sell,128.44989013671875,8983.472536372337,"[0.3039768934249878, 0.8254327178001404, 0.15799888968467712, 0.0461101233959198, 0.5910478830337524]"
91,2010-11-05,sell,132.06275939941406,5583.21053144199,"[0.46027740836143494, 0.555048942565918, 0.1790168285369873, 0.21998217701911926, 0.3801257908344269]"
92,2010-11-08,sell,130.6191864013672,3888.543207543069,"[0.6027833223342896, 0.35784876346588135, 0.05615949630737305, 0.13382375240325928, 0.3143309950828552]"
93,2010-11-09,buy,128.5734405517578,2206.9079439678594,"[0.543639063835144, 0.4992406964302063, 0.048154354095458984, 0.1307620108127594, 0.2610858082771301]"
94,2010-11-10,buy,129.09066772460938,2710.3806421069808,"[0.5147374868392944, 0.6642680168151855, 0.024962276220321655, 0.05365994572639465, 0.31932157278060913]"
95,2010-11-11,buy,129.46893310546875,6157.811558336451,"[0.5798717141151428, 0.5150596499443054, 0.11245709657669067, 0.32689693570137024, 0.2250874936580658]"
96,2010-11-12,sell,128.01760864257812,7110.4513430385405,"[0.85919189453125, 0.06607770919799805, 0.06388294696807861, 0.397088885307312, 0.20126551389694214]"
97,2010-11-15,buy,129.09066772460938,6953.788030176586,"[0.8060081005096436, 0.008577495813369751, 0.5608944892883301, 0.555733323097229, 0.06164988875389099]"
98,2010-11-16,buy,127.45404052734376,4154.432729995996,"[0.6997787952423096, 0.03913870453834534, 0.6652432680130005, 0.39870771765708923, 0.30239081382751465]"
99,2010-11-17,sell,127.29200744628906,4059.382602913161,"[0.8076037168502808, 0.019838273525238037, 0.5330504179000854, 0.14748454093933105, 0.40111225843429565]"
100,2010-11-18,buy,129.19100952148438,2889.805135148393,"[0.8170108199119568, 0.07681500911712646, 0.46763280034065247, 0.1278940737247467, 0.6348967552185059]"
101,2010-11-19,buy,128.66607666015625,5347.197322326129,"[0.7332621216773987, 0.5309303402900696, 0.586063027381897, 0.3083500564098358, 0.6232096552848816]"
102,2010-11-22,sell,124.32756042480467,1756.6603709239862,"[0.6470361351966858, 0.35657230019569397, 0.6474549770355225, 0.31022587418556213, 0.6084301471710205]"
103,2010-11-23,buy,121.80319213867188,2235.2058120834768,"[0.6942031383514404, 0.4514702260494232, 0.8161585927009583, 0.5758695602416992, 0.5817257165908813]"
