step,date,type,price,traded_value,allocation
10,2010-07-14,buy,27.21473503112793,9999.99999999384,"[0.5964713096618652, 0.6979979872703552, 0.0803975760936737, 0.22134381532669067, 0.23729842901229858]"
11,2010-07-15,buy,27.288915634155273,3083.352580396813,"[0.42615246772766113, 0.6637706756591797, 0.18139737844467163, 0.2338426411151886, 0.41143912076950073]"
12,2010-07-16,sell,26.304201126098633,8234.870220864676,"[0.7133505940437317, 0.13740146160125732, 0.03203970193862915, 0.10283041000366211, 0.6119717955589294]"
13,2010-07-19,sell,26.33118057250977,3247.169982618333,"[0.5328512191772461, 0.06481856107711792, 0.08928516507148743, 0.043312281370162964, 0.7092339992523193]"
14,2010-07-20,buy,26.72911834716797,6562.115956545348,"[0.32782989740371704, 0.03756588697433472, 0.5895475745201111, 0.20550081133842468, 0.7768927812576294]"
15,2010-07-21,buy,25.91301155090332,5938.859085387137,"[0.7951897382736206, 0.16403624415397644, 0.05249187350273132, 0.22933536767959595, 0.8066989183425903]"
16,2010-07-22,buy,26.540264129638672,5642.6275136305385,"[0.6800945401191711, 0.7378293871879578, 0.21132105588912964, 0.34262657165527344, 0.6775073409080505]"
17,2010-07-23,buy,26.864004135131836,2692.502871859048,"[0.4533906579017639, 0.9324945211410522, 0.466767281293869, 0.279083788394928, 0.7409071922302246]"
18,2010-07-26,sell,27.201234817504883,370.9067038948541,"[0.4129624366760254, 0.913006067276001, 0.5050371289253235, 0.26647868752479553, 0.7046865820884705]"
19,2010-07-27,sell,27.44405174255371,1524.8812305796848,"[0.449334979057312, 0.9091802835464478, 0.4530096650123596, 0.32139578461647034, 0.5149504542350769]"
20,2010-07-28,buy,27.194490432739254,2040.4471169278218,"[0.45148375630378723, 0.9741570353507996, 0.6101356148719788, 0.4156944155693054, 0.3022244870662689]"
21,2010-07-29,sell,27.120298385620117,1217.9157757960172,"[0.5486769676208496, 0.9595262408256531, 0.4904983639717102, 0.43831130862236023, 0.2394218146800995]"
22,2010-07-30,sell,27.167509078979492,2948.088381296705,"[0.6807674169540405, 0.8499969244003296, 0.12148535251617432, 0.3738812208175659, 0.2745246887207031]"
