step,date,type,price,traded_value,allocation
10,2010-07-14,buy,19.84000015258789,9999.999999994066,"[0.7499343156814575, 0.47823774814605713, 0.18672248721122742, 0.006273448467254639, 0.512498676776886]"
11,2010-07-15,sell,19.88999938964844,4415.308853453218,"[0.40664908289909363, 0.23190757632255554, 0.2758699357509613, 0.09309163689613342, 0.4815736413002014]"
12,2010-07-16,buy,20.63999938964844,4517.827871759497,"[0.5601825714111328, 0.08522042632102966, 0.11485737562179565, 0.22019502520561218, 0.6793628931045532]"
13,2010-07-19,buy,21.90999984741211,5865.091959181754,"[0.24751263856887817, 0.22660279273986816, 0.4112907648086548, 0.5303826928138733, 0.7251875996589661]"
14,2010-07-20,buy,20.299999237060547,2421.9057070561794,"[0.1313808262348175, 0.2803042531013489, 0.8112555742263794, 0.8078504204750061, 0.8860020637512207]"
15,2010-07-21,sell,20.219999313354492,5446.904276716475,"[0.6705754995346069, 0.2808060050010681, 0.1533551812171936, 0.5995497703552246, 0.8389872312545776]"
16,2010-07-22,buy,21.0,3600.6746428589395,"[0.5604191422462463, 0.6078079342842102, 0.2885049283504486, 0.46194198727607727, 0.6695764064788818]"
17,2010-07-23,buy,21.290000915527344,2351.90860769736,"[0.33197396993637085, 0.8151718974113464, 0.3994917869567871, 0.4229266345500946, 0.7534321546554565]"
18,2010-07-26,sell,20.950000762939453,603.4305588390876,"[0.3084515333175659, 0.7704340815544128, 0.46636033058166504, 0.3827751576900482, 0.7229971885681152]"
19,2010-07-27,sell,20.549999237060547,1713.5337264316652,"[0.4587513208389282, 0.695838212966919, 0.4887675344944, 0.27104949951171875, 0.6088300347328186]"
20,2010-07-28,buy,20.719999313354492,1288.62646083468,"[0.5707758665084839, 0.7237679362297058, 0.607966423034668, 0.18580380082130432, 0.5837267637252808]"
21,2010-07-29,sell,20.350000381469727,1370.006849412558,"[0.6833695769309998, 0.6619096994400024, 0.5768640041351318, 0.20551854372024536, 0.4373120665550232]"
22,2010-07-30,sell,19.940000534057617,2567.7164808457983,"[0.8062211275100708, 0.5341633558273315, 0.3151119351387024, 0.14123079180717468, 0.4482925534248352]"
23,2010-08-02,sell,20.920000076293945,1597.928589808134,"[0.8854883313179016, 0.5041351914405823, 0.35814398527145386, 0.16068914532661438, 0.2751375436782837]"
24,2010-08-03,buy,21.950000762939453,3752.2349353154914,"[0.5882388949394226, 0.6100600361824036, 0.5340622663497925, 0.14103618264198303, 0.5868716835975647]"
25,2010-08-04,sell,21.260000228881836,4799.857120422808,"[0.5227216482162476, 0.1840294599533081, 0.2945557236671448, 0.42671215534210205, 0.524843156337738]"
26,2010-08-05,sell,20.450000762939453,2080.568230814976,"[0.6493158340454102, 0.15544694662094116, 0.13566550612449646, 0.36642730236053467, 0.48084449768066406]"
