step,date,type,price,traded_value,allocation
10,2010-07-14,buy,33.802574157714844,9999.999999994952,"[0.003611445426940918, 0.9980322122573853, 0.7992920279502869, 0.34052395820617676, 0.015272378921508789]"
11,2010-07-15,sell,33.80827331542969,1521.0645912525126,"[0.002600252628326416, 0.9753513336181641, 0.6714455485343933, 0.143274188041687, 0.06445369124412537]"
12,2010-07-16,sell,33.061031341552734,4297.648353341994,"[0.02365565299987793, 0.5786278247833252, 0.16132599115371704, 0.14318129420280457, 0.13438203930854797]"
13,2010-07-19,buy,33.329132080078125,8617.525297707354,"[0.04193177819252014, 0.20959359407424927, 0.2673392593860626, 0.16781756281852722, 0.5755835771560669]"
14,2010-07-20,buy,33.62574387,5092.6308899777405,"[0.014484703540802002, 0.1340171992778778, 0.6672461032867432, 0.6390136480331421, 0.8074160218238831]"
15,2010-07-21,sell,33.18082809448242,8223.976592148496,"[0.057042986154556274, 0.6779559850692749, 0.22414177656173706, 0.2661142647266388, 0.44255807995796204]"
16,2010-07-22,buy,33.87102508544922,5248.2925057595585,"[0.011526763439178467, 0.9761803150177002, 0.6782639026641846, 0.19362488389015198, 0.24384063482284546]"
17,2010-07-23,buy,34.06496810913086,1912.5507854452346,"[0.00133436918258667, 0.9967504143714905, 0.9106366634368896, 0.15181928873062134, 0.1701277792453766]"
18,2010-07-26,sell,34.44713592529297,344.11129804897536,"[0.0011468827724456787, 0.9962150454521179, 0.9331998825073242, 0.12586981058120728, 0.15743571519851685]"
19,2010-07-27,buy,34.68671798706055,705.0001237800097,"[0.0010487735271453857, 0.9970853328704834, 0.9627988338470459, 0.1691083014011383, 0.08936047554016113]"
20,2010-07-28,buy,34.743751525878906,781.0023407286542,"[0.00022616982460021973, 0.9996957182884216, 0.9951093196868896, 0.2532927095890045, 0.02588292956352234]"
21,2010-07-29,sell,34.418617248535156,194.22349797515147,"[0.0004990696907043457, 0.9994362592697144, 0.9918357133865356, 0.23089361190795898, 0.02832186222076416]"
22,2010-07-30,buy,34.042152404785156,689.4782436370124,"[0.0018033385276794434, 0.9984564781188965, 0.9454943537712097, 0.3148118257522583, 0.025404751300811768]"
23,2010-08-02,buy,35.33127975463867,1476.1379998587895,"[0.003361523151397705, 0.9987257719039917, 0.9537781476974487, 0.5061423182487488, 0.0102120041847229]"
24,2010-08-03,sell,35.77620315551758,3197.645386885689,"[0.0005044043064117432, 0.9988036155700684, 0.980542004108429, 0.1276072859764099, 0.043378621339797974]"
25,2010-08-04,sell,35.77620315551758,1722.1875299739477,"[0.0036419034004211426, 0.9535136818885803, 0.8382705450057983, 0.23716676235198975, 0.0850132405757904]"
26,2010-08-05,buy,35.77049637,2754.7859058134372,"[0.009909182786941528, 0.9365477561950684, 0.6266677379608154, 0.5000061988830566, 0.06384590268135071]"
